ensg	gene	ID	X1	X2	X3	X4	X5	X6	X7	X8	X9
ENSG00000014824.1	gene_462	evm.TU.SUPER__1.330	SUPER__1	EVM	gene	25984998	26060487	.	+	.	ID=evm.TU.SUPER__1.330;Name=EVM prediction SUPER__1.330
ENSG00000015133.1	gene_465	reg_4430	SUPER__1	TOGA	gene	223404248	223509629	.	-	.	ID=reg_4430;Name=gene.reg_4430
ENSG00000015133.16	gene_472	evm.TU.SUPER__1.1166	SUPER__1	EVM	gene	114868998	114872580	.	+	.	ID=evm.TU.SUPER__1.1166;Name=EVM prediction SUPER__1.1166
ENSG00000015133.17	gene_473	evm.TU.SUPER__1.2574	SUPER__1	EVM	gene	224339016	224347793	.	+	.	ID=evm.TU.SUPER__1.2574;Name=EVM prediction SUPER__1.2574
ENSG00000015133.18	gene_474	evm.TU.SUPER__1.2598	SUPER__1	EVM	gene	225292994	225309577	.	-	.	ID=evm.TU.SUPER__1.2598;Name=EVM prediction SUPER__1.2598
ENSG00000015133.19	gene_475	evm.TU.SUPER__1.2679	SUPER__1	EVM	gene	229606509	229613497	.	-	.	ID=evm.TU.SUPER__1.2679;Name=EVM prediction SUPER__1.2679
ENSG00000015133.21	gene_478	evm.TU.SUPER__1.2712	SUPER__1	EVM	gene	230999632	231011814	.	+	.	ID=evm.TU.SUPER__1.2712;Name=EVM prediction SUPER__1.2712
ENSG00000015171.1	gene_537	evm.TU.SUPER__1.844	SUPER__1	EVM	gene	80704118	80796440	.	-	.	ID=evm.TU.SUPER__1.844;Name=EVM prediction SUPER__1.844
ENSG00000018189.1	gene_558	reg_2246	SUPER__1	TOGA	gene	44082677	44157470	.	+	.	ID=reg_2246;Name=gene.reg_2246
ENSG00000019102.1	gene_567	evm.TU.SUPER__1.1663	SUPER__1	EVM	gene	157686515	157687123	.	-	.	ID=evm.TU.SUPER__1.1663;Name=EVM prediction SUPER__1.1663
ENSG00000020426.1	gene_581	evm.TU.SUPER__1.2299	SUPER__1	EVM	gene	200260311	200457593	.	+	.	ID=evm.TU.SUPER__1.2299;Name=EVM prediction SUPER__1.2299
ENSG00000020577.1	gene_582	evm.TU.SUPER__1.2232	SUPER__1	EVM	gene	195638688	195845019	.	+	.	ID=evm.TU.SUPER__1.2232;Name=EVM prediction SUPER__1.2232
ENSG00000021645.1	gene_596	evm.TU.SUPER__1.2502	SUPER__1	EVM	gene	214242208	215136588	.	+	.	ID=evm.TU.SUPER__1.2502;Name=EVM prediction SUPER__1.2502
ENSG00000021776.1	gene_598	evm.TU.SUPER__1.1775	SUPER__1	EVM	gene	162084567	162174905	.	-	.	ID=evm.TU.SUPER__1.1775;Name=EVM prediction SUPER__1.1775
ENSG00000022267.2	gene_602	evm.TU.SUPER__1.2581	SUPER__1	EVM	gene	224684683	224685525	.	-	.	ID=evm.TU.SUPER__1.2581;Name=EVM prediction SUPER__1.2581
ENSG00000022976.1	gene_609	reg_2325	SUPER__1	TOGA	gene	231149168	231160625	.	+	.	ID=reg_2325;Name=gene.reg_2325
ENSG00000023608.1	gene_621	evm.TU.SUPER__1.2308	SUPER__1	EVM	gene	201166415	201190357	.	+	.	ID=evm.TU.SUPER__1.2308;Name=EVM prediction SUPER__1.2308
ENSG00000026025.1	gene_643	evm.TU.SUPER__1.1020	SUPER__1	EVM	gene	99173343	99180531	.	-	.	ID=evm.TU.SUPER__1.1020;Name=EVM prediction SUPER__1.1020
ENSG00000027075.1	gene_653	evm.TU.SUPER__1.2304	SUPER__1	EVM	gene	200747385	200964729	.	+	.	ID=evm.TU.SUPER__1.2304;Name=EVM prediction SUPER__1.2304
ENSG00000028277.1	gene_661	evm.TU.SUPER__1.1767	SUPER__1	EVM	gene	161265673	161266557	.	+	.	ID=evm.TU.SUPER__1.1767;Name=EVM prediction SUPER__1.1767
ENSG00000028528.1	gene_666	reg_2418	SUPER__1	TOGA	gene	187239557	187284015	.	+	.	ID=reg_2418;Name=gene.reg_2418
ENSG00000029364.1	gene_670	evm.TU.SUPER__1.2371	SUPER__1	EVM	gene	207037638	207072616	.	+	.	ID=evm.TU.SUPER__1.2371;Name=EVM prediction SUPER__1.2371
ENSG00000029559.1	gene_672	evm.TU.SUPER__1.647	SUPER__1	EVM	gene	57688321	57698494	.	+	.	ID=evm.TU.SUPER__1.647;Name=EVM prediction SUPER__1.647
ENSG00000032219.1	gene_691	evm.TU.SUPER__1.2271	SUPER__1	EVM	gene	198452905	198523562	.	+	.	ID=evm.TU.SUPER__1.2271;Name=EVM prediction SUPER__1.2271
ENSG00000033170.1	gene_699	evm.TU.SUPER__1.2339	SUPER__1	EVM	gene	204019826	204132201	.	+	.	ID=evm.TU.SUPER__1.2339;Name=EVM prediction SUPER__1.2339
ENSG00000033178.1	gene_700	evm.TU.SUPER__1.442	SUPER__1	EVM	gene	42049930	42120809	.	-	.	ID=evm.TU.SUPER__1.442;Name=EVM prediction SUPER__1.442
ENSG00000033800.1	gene_703	reg_2153	SUPER__1	TOGA	gene	190718233	190822561	.	+	.	ID=reg_2153;Name=gene.reg_2153
ENSG00000035664.1	gene_720	reg_3551	SUPER__1	TOGA	gene	187075717	187187003	.	-	.	ID=reg_3551;Name=gene.reg_3551
ENSG00000035720.1	gene_723	reg_2093	SUPER__1	TOGA	gene	41997589	42041075	.	+	.	ID=reg_2093;Name=gene.reg_2093
ENSG00000035928.1	gene_725	evm.TU.SUPER__1.305	SUPER__1	EVM	gene	23927384	23998981	.	-	.	ID=evm.TU.SUPER__1.305;Name=EVM prediction SUPER__1.305
ENSG00000036530.1	gene_730	evm.TU.SUPER__1.2634	SUPER__1	EVM	gene	227205999	227230337	.	-	.	ID=evm.TU.SUPER__1.2634;Name=EVM prediction SUPER__1.2634
ENSG00000038210.1	gene_748	evm.TU.SUPER__1.251	SUPER__1	EVM	gene	14610442	14637069	.	+	.	ID=evm.TU.SUPER__1.251;Name=EVM prediction SUPER__1.251
ENSG00000038219.1	gene_749	evm.TU.SUPER__1.168	SUPER__1	EVM	gene	6258515	6302918	.	-	.	ID=evm.TU.SUPER__1.168;Name=EVM prediction SUPER__1.168
ENSG00000038382.2	gene_754	evm.TU.SUPER__1.30	SUPER__1	EVM	gene	596795	597400	.	+	.	ID=evm.TU.SUPER__1.30;Name=EVM prediction SUPER__1.30
ENSG00000042088.1	gene_793	evm.TU.SUPER__1.2545	SUPER__1	EVM	gene	222592576	222643410	.	+	.	ID=evm.TU.SUPER__1.2545;Name=EVM prediction SUPER__1.2545
ENSG00000042317.1	gene_795	evm.TU.SUPER__1.2536	SUPER__1	EVM	gene	221456336	221484002	.	+	.	ID=evm.TU.SUPER__1.2536;Name=EVM prediction SUPER__1.2536
ENSG00000046647.1	gene_825	evm.TU.SUPER__1.1935	SUPER__1	EVM	gene	171396898	171397413	.	+	.	ID=evm.TU.SUPER__1.1935;Name=EVM prediction SUPER__1.1935
ENSG00000047056.1	gene_833	evm.TU.SUPER__1.838	SUPER__1	EVM	gene	79940043	79993083	.	-	.	ID=evm.TU.SUPER__1.838;Name=EVM prediction SUPER__1.838
ENSG00000047315.1	gene_838	evm.TU.SUPER__1.2626	SUPER__1	EVM	gene	226800613	226804134	.	-	.	ID=evm.TU.SUPER__1.2626;Name=EVM prediction SUPER__1.2626
ENSG00000047315.2	gene_839	evm.TU.SUPER__1.418	SUPER__1	EVM	gene	34533928	34582532	.	+	.	ID=evm.TU.SUPER__1.418;Name=EVM prediction SUPER__1.418
ENSG00000047346.1	gene_844	evm.TU.SUPER__1.2004	SUPER__1	EVM	gene	177531106	177584183	.	-	.	ID=evm.TU.SUPER__1.2004;Name=EVM prediction SUPER__1.2004
ENSG00000047365.1	gene_845	evm.TU.SUPER__1.286	SUPER__1	EVM	gene	21703763	21840968	.	-	.	ID=evm.TU.SUPER__1.286;Name=EVM prediction SUPER__1.286
ENSG00000047662.1	gene_857	evm.TU.SUPER__1.198	SUPER__1	EVM	gene	8943442	9005415	.	-	.	ID=evm.TU.SUPER__1.198;Name=EVM prediction SUPER__1.198
ENSG00000048342.1	gene_867	reg_2369	SUPER__1	TOGA	gene	7527307	7594497	.	+	.	ID=reg_2369;Name=gene.reg_2369
ENSG00000048740.1	gene_876	reg_3663	SUPER__1	TOGA	gene	70895418	71429053	.	-	.	ID=reg_3663;Name=gene.reg_3663
ENSG00000048991.1	gene_878	evm.TU.SUPER__1.337	SUPER__1	EVM	gene	27230720	27237252	.	-	.	ID=evm.TU.SUPER__1.337;Name=EVM prediction SUPER__1.337
ENSG00000050130.1	gene_904	reg_1992	SUPER__1	TOGA	gene	199428519	199441717	.	+	.	ID=reg_1992;Name=gene.reg_1992
ENSG00000051180.1	gene_922	evm.TU.SUPER__1.1831	SUPER__1	EVM	gene	167375360	167405104	.	+	.	ID=evm.TU.SUPER__1.1831;Name=EVM prediction SUPER__1.1831
ENSG00000051596.1	gene_926	evm.TU.SUPER__1.1718	SUPER__1	EVM	gene	159139421	159140431	.	-	.	ID=evm.TU.SUPER__1.1718;Name=EVM prediction SUPER__1.1718
ENSG00000053254.1	gene_943	evm.TU.SUPER__1.2542	SUPER__1	EVM	gene	221956795	222165480	.	-	.	ID=evm.TU.SUPER__1.2542;Name=EVM prediction SUPER__1.2542
ENSG00000053770.1	gene_953	reg_2600	SUPER__1	TOGA	gene	197779019	197796409	.	+	.	ID=reg_2600;Name=gene.reg_2600
ENSG00000053900.1	gene_954	reg_2123	SUPER__1	TOGA	gene	14703896	14735385	.	+	.	ID=reg_2123;Name=gene.reg_2123
ENSG00000054654.1	gene_969	evm.TU.SUPER__1.2321	SUPER__1	EVM	gene	202712601	202967306	.	+	.	ID=evm.TU.SUPER__1.2321;Name=EVM prediction SUPER__1.2321
ENSG00000054690.1	gene_970	evm.TU.SUPER__1.2353	SUPER__1	EVM	gene	205482788	205527949	.	+	.	ID=evm.TU.SUPER__1.2353;Name=EVM prediction SUPER__1.2353
ENSG00000054983.1	gene_978	evm.TU.SUPER__1.2530	SUPER__1	EVM	gene	221152222	221192286	.	-	.	ID=evm.TU.SUPER__1.2530;Name=EVM prediction SUPER__1.2530
ENSG00000055130.2	gene_983	evm.TU.SUPER__1.900	SUPER__1	EVM	gene	87143156	87145486	.	-	.	ID=evm.TU.SUPER__1.900;Name=EVM prediction SUPER__1.900
ENSG00000056291.1	gene_1009	reg_2577	SUPER__1	TOGA	gene	45009088	45071222	.	+	.	ID=reg_2577;Name=gene.reg_2577
ENSG00000057608.1	gene_1023	evm.TU.SUPER__1.804	SUPER__1	EVM	gene	76167615	76212642	.	+	.	ID=evm.TU.SUPER__1.804;Name=EVM prediction SUPER__1.804
ENSG00000063177.1	gene_1115	evm.TU.SUPER__1.755	SUPER__1	EVM	gene	70566826	70591175	.	+	.	ID=evm.TU.SUPER__1.755;Name=EVM prediction SUPER__1.755
ENSG00000063601.1	gene_1128	evm.TU.SUPER__1.1001	SUPER__1	EVM	gene	95538751	95539251	.	+	.	ID=evm.TU.SUPER__1.1001;Name=EVM prediction SUPER__1.1001
ENSG00000063761.1	gene_1131	evm.TU.SUPER__1.2501	SUPER__1	EVM	gene	213491474	213599225	.	+	.	ID=evm.TU.SUPER__1.2501;Name=EVM prediction SUPER__1.2501
ENSG00000063978.1	gene_1134	evm.TU.SUPER__1.1919	SUPER__1	EVM	gene	170994407	170994952	.	+	.	ID=evm.TU.SUPER__1.1919;Name=EVM prediction SUPER__1.1919
ENSG00000063978.2	gene_1135	evm.TU.SUPER__1.53	SUPER__1	EVM	gene	1123984	1142074	.	+	.	ID=evm.TU.SUPER__1.53;Name=EVM prediction SUPER__1.53
ENSG00000064042.1	gene_1137	reg_1767	SUPER__1	TOGA	gene	25453848	25763245	.	+	.	ID=reg_1767;Name=gene.reg_1767
ENSG00000065328.1	gene_1197	evm.TU.SUPER__1.1415	SUPER__1	EVM	gene	140916254	140956995	.	+	.	ID=evm.TU.SUPER__1.1415;Name=EVM prediction SUPER__1.1415
ENSG00000065665.1	gene_1219	reg_2202	SUPER__1	TOGA	gene	139954257	139989307	.	+	.	ID=reg_2202;Name=gene.reg_2202
ENSG00000065665.2	gene_1220	evm.TU.SUPER__1.1407	SUPER__1	EVM	gene	139954257	139984618	.	+	.	ID=evm.TU.SUPER__1.1407;Name=EVM prediction SUPER__1.1407
ENSG00000065675.1	gene_1221	evm.TU.SUPER__1.791	SUPER__1	EVM	gene	75369205	75448180	.	+	.	ID=evm.TU.SUPER__1.791;Name=EVM prediction SUPER__1.791
ENSG00000065809.1	gene_1225	evm.TU.SUPER__1.1058	SUPER__1	EVM	gene	103514825	103775943	.	-	.	ID=evm.TU.SUPER__1.1058;Name=EVM prediction SUPER__1.1058
ENSG00000065882.1	gene_1227	evm.TU.SUPER__1.294	SUPER__1	EVM	gene	22900777	23097474	.	+	.	ID=evm.TU.SUPER__1.294;Name=EVM prediction SUPER__1.294
ENSG00000066427.1	gene_1256	evm.TU.SUPER__1.2564	SUPER__1	EVM	gene	223905356	223933757	.	-	.	ID=evm.TU.SUPER__1.2564;Name=EVM prediction SUPER__1.2564
ENSG00000066455.1	gene_1257	evm.TU.SUPER__1.2577	SUPER__1	EVM	gene	224422520	224451310	.	+	.	ID=evm.TU.SUPER__1.2577;Name=EVM prediction SUPER__1.2577
ENSG00000066629.1	gene_1262	reg_4380	SUPER__1	TOGA	gene	227055691	227153875	.	-	.	ID=reg_4380;Name=gene.reg_4380
ENSG00000066735.1	gene_1266	evm.TU.SUPER__1.2745	SUPER__1	EVM	gene	232250725	232283221	.	+	.	ID=evm.TU.SUPER__1.2745;Name=EVM prediction SUPER__1.2745
ENSG00000066739.1	gene_1267	reg_2264	SUPER__1	TOGA	gene	229412925	229483103	.	+	.	ID=reg_2264;Name=gene.reg_2264
ENSG00000066933.1	gene_1275	evm.TU.SUPER__1.1222	SUPER__1	EVM	gene	121744911	122100848	.	-	.	ID=evm.TU.SUPER__1.1222;Name=EVM prediction SUPER__1.1222
ENSG00000067057.1	gene_1277	evm.TU.SUPER__1.831	SUPER__1	EVM	gene	78273744	78340042	.	-	.	ID=evm.TU.SUPER__1.831;Name=EVM prediction SUPER__1.831
ENSG00000067064.1	gene_1278	evm.TU.SUPER__1.839	SUPER__1	EVM	gene	80020712	80028725	.	+	.	ID=evm.TU.SUPER__1.839;Name=EVM prediction SUPER__1.839
ENSG00000067082.1	gene_1283	reg_2097	SUPER__1	TOGA	gene	77729689	77735279	.	+	.	ID=reg_2097;Name=gene.reg_2097
ENSG00000067141.1	gene_1286	reg_1793	SUPER__1	TOGA	gene	123196357	123455830	.	+	.	ID=reg_1793;Name=gene.reg_1793
ENSG00000067221.1	gene_1292	evm.TU.SUPER__1.1252	SUPER__1	EVM	gene	124275039	124291549	.	-	.	ID=evm.TU.SUPER__1.1252;Name=EVM prediction SUPER__1.1252
ENSG00000067225.1	gene_1293	reg_3946	SUPER__1	TOGA	gene	122261506	122281673	.	-	.	ID=reg_3946;Name=gene.reg_3946
ENSG00000067225.2	gene_1294	evm.TU.SUPER__1.1470	SUPER__1	EVM	gene	145883122	145883638	.	+	.	ID=evm.TU.SUPER__1.1470;Name=EVM prediction SUPER__1.1470
ENSG00000067369.1	gene_1300	evm.TU.SUPER__1.1890	SUPER__1	EVM	gene	169855727	169932018	.	-	.	ID=evm.TU.SUPER__1.1890;Name=EVM prediction SUPER__1.1890
ENSG00000068078.1	gene_1322	evm.TU.SUPER__1.40	SUPER__1	EVM	gene	753000	767396	.	+	.	ID=evm.TU.SUPER__1.40;Name=EVM prediction SUPER__1.40
ENSG00000068394.1	gene_1333	evm.TU.SUPER__1.2576	SUPER__1	EVM	gene	224390366	224391793	.	-	.	ID=evm.TU.SUPER__1.2576;Name=EVM prediction SUPER__1.2576
ENSG00000069345.1	gene_1371	evm.TU.SUPER__1.1317	SUPER__1	EVM	gene	128109559	128109993	.	-	.	ID=evm.TU.SUPER__1.1317;Name=EVM prediction SUPER__1.1317
ENSG00000069667.1	gene_1380	reg_3825	SUPER__1	TOGA	gene	183999651	184709714	.	-	.	ID=reg_3825;Name=gene.reg_3825
ENSG00000069667.2	gene_1381	evm.TU.SUPER__1.2063	SUPER__1	EVM	gene	183999651	184091071	.	-	.	ID=evm.TU.SUPER__1.2063;Name=EVM prediction SUPER__1.2063
ENSG00000069869.1	gene_1387	reg_4117	SUPER__1	TOGA	gene	180073895	180198635	.	-	.	ID=reg_4117;Name=gene.reg_4117
ENSG00000069943.1	gene_1388	reg_2019	SUPER__1	TOGA	gene	179706793	179733914	.	+	.	ID=reg_2019;Name=gene.reg_2019
ENSG00000069956.1	gene_1389	evm.TU.SUPER__1.1997	SUPER__1	EVM	gene	177060353	177073305	.	+	.	ID=evm.TU.SUPER__1.1997;Name=EVM prediction SUPER__1.1997
ENSG00000069966.1	gene_1391	evm.TU.SUPER__1.2000	SUPER__1	EVM	gene	177147801	177184923	.	-	.	ID=evm.TU.SUPER__1.2000;Name=EVM prediction SUPER__1.2000
ENSG00000069974.1	gene_1392	evm.TU.SUPER__1.2017	SUPER__1	EVM	gene	179626571	179649338	.	-	.	ID=evm.TU.SUPER__1.2017;Name=EVM prediction SUPER__1.2017
ENSG00000070182.1	gene_1404	evm.TU.SUPER__1.2332	SUPER__1	EVM	gene	203368452	203430414	.	-	.	ID=evm.TU.SUPER__1.2332;Name=EVM prediction SUPER__1.2332
ENSG00000070190.1	gene_1405	evm.TU.SUPER__1.719	SUPER__1	EVM	gene	67799232	67845306	.	+	.	ID=evm.TU.SUPER__1.719;Name=EVM prediction SUPER__1.719
ENSG00000070269.1	gene_1408	evm.TU.SUPER__1.2253	SUPER__1	EVM	gene	197204966	197259916	.	+	.	ID=evm.TU.SUPER__1.2253;Name=EVM prediction SUPER__1.2253
ENSG00000070367.1	gene_1410	evm.TU.SUPER__1.2259	SUPER__1	EVM	gene	197740567	197778357	.	-	.	ID=evm.TU.SUPER__1.2259;Name=EVM prediction SUPER__1.2259
ENSG00000070778.1	gene_1435	evm.TU.SUPER__1.2537	SUPER__1	EVM	gene	221495824	221563668	.	-	.	ID=evm.TU.SUPER__1.2537;Name=EVM prediction SUPER__1.2537
ENSG00000070915.2	gene_1443	evm.TU.SUPER__1.1730	SUPER__1	EVM	gene	159453203	159463443	.	-	.	ID=evm.TU.SUPER__1.1730;Name=EVM prediction SUPER__1.1730
ENSG00000071127.1	gene_1456	reg_3708	SUPER__1	TOGA	gene	4136045	4166536	.	-	.	ID=reg_3708;Name=gene.reg_3708
ENSG00000071246.1	gene_1462	reg_2182	SUPER__1	TOGA	gene	212698753	212712018	.	+	.	ID=reg_2182;Name=gene.reg_2182
ENSG00000071537.1	gene_1465	evm.TU.SUPER__1.2509	SUPER__1	EVM	gene	216529827	216575195	.	-	.	ID=evm.TU.SUPER__1.2509;Name=EVM prediction SUPER__1.2509
ENSG00000071909.1	gene_1480	evm.TU.SUPER__1.1714	SUPER__1	EVM	gene	159023232	159023831	.	-	.	ID=evm.TU.SUPER__1.1714;Name=EVM prediction SUPER__1.1714
ENSG00000072042.1	gene_1486	evm.TU.SUPER__1.2357	SUPER__1	EVM	gene	205592785	205604919	.	-	.	ID=evm.TU.SUPER__1.2357;Name=EVM prediction SUPER__1.2357
ENSG00000072110.1	gene_1491	evm.TU.SUPER__1.2362	SUPER__1	EVM	gene	206570740	206662093	.	-	.	ID=evm.TU.SUPER__1.2362;Name=EVM prediction SUPER__1.2362
ENSG00000072121.1	gene_1492	evm.TU.SUPER__1.2359	SUPER__1	EVM	gene	205640611	205706256	.	-	.	ID=evm.TU.SUPER__1.2359;Name=EVM prediction SUPER__1.2359
ENSG00000072201.1	gene_1502	evm.TU.SUPER__1.378	SUPER__1	EVM	gene	31763584	31862153	.	-	.	ID=evm.TU.SUPER__1.378;Name=EVM prediction SUPER__1.378
ENSG00000072415.1	gene_1510	evm.TU.SUPER__1.2348	SUPER__1	EVM	gene	205259788	205306823	.	+	.	ID=evm.TU.SUPER__1.2348;Name=EVM prediction SUPER__1.2348
ENSG00000072506.1	gene_1513	evm.TU.SUPER__1.1174	SUPER__1	EVM	gene	117675143	117675928	.	+	.	ID=evm.TU.SUPER__1.1174;Name=EVM prediction SUPER__1.1174
ENSG00000072518.1	gene_1515	evm.TU.SUPER__1.1183	SUPER__1	EVM	gene	118806049	118812524	.	-	.	ID=evm.TU.SUPER__1.1183;Name=EVM prediction SUPER__1.1183
ENSG00000072832.1	gene_1553	evm.TU.SUPER__1.115	SUPER__1	EVM	gene	3297493	3334391	.	+	.	ID=evm.TU.SUPER__1.115;Name=EVM prediction SUPER__1.115
ENSG00000072840.1	gene_1554	evm.TU.SUPER__1.116	SUPER__1	EVM	gene	3336284	3379222	.	-	.	ID=evm.TU.SUPER__1.116;Name=EVM prediction SUPER__1.116
ENSG00000073169.2	gene_1570	evm.TU.SUPER__1.920	SUPER__1	EVM	gene	88900129	88945914	.	-	.	ID=evm.TU.SUPER__1.920;Name=EVM prediction SUPER__1.920
ENSG00000073536.1	gene_1581	evm.TU.SUPER__1.1151	SUPER__1	EVM	gene	113131236	113131911	.	+	.	ID=evm.TU.SUPER__1.1151;Name=EVM prediction SUPER__1.1151
ENSG00000073712.1	gene_1592	evm.TU.SUPER__1.2217	SUPER__1	EVM	gene	194397924	194462261	.	-	.	ID=evm.TU.SUPER__1.2217;Name=EVM prediction SUPER__1.2217
ENSG00000074211.1	gene_1612	evm.TU.SUPER__1.110	SUPER__1	EVM	gene	3011922	3089980	.	+	.	ID=evm.TU.SUPER__1.110;Name=EVM prediction SUPER__1.110
ENSG00000074410.1	gene_1621	evm.TU.SUPER__1.2086	SUPER__1	EVM	gene	186550840	186598221	.	-	.	ID=evm.TU.SUPER__1.2086;Name=EVM prediction SUPER__1.2086
ENSG00000074603.1	gene_1626	evm.TU.SUPER__1.2133	SUPER__1	EVM	gene	188453978	188515837	.	-	.	ID=evm.TU.SUPER__1.2133;Name=EVM prediction SUPER__1.2133
ENSG00000074621.1	gene_1627	evm.TU.SUPER__1.2136	SUPER__1	EVM	gene	188592264	188628423	.	+	.	ID=evm.TU.SUPER__1.2136;Name=EVM prediction SUPER__1.2136
ENSG00000074696.1	gene_1631	evm.TU.SUPER__1.2134	SUPER__1	EVM	gene	188525068	188551927	.	+	.	ID=evm.TU.SUPER__1.2134;Name=EVM prediction SUPER__1.2134
ENSG00000074803.1	gene_1635	evm.TU.SUPER__1.1958	SUPER__1	EVM	gene	173755814	173839022	.	+	.	ID=evm.TU.SUPER__1.1958;Name=EVM prediction SUPER__1.1958
ENSG00000074966.1	gene_1640	evm.TU.SUPER__1.358	SUPER__1	EVM	gene	29818151	29877006	.	-	.	ID=evm.TU.SUPER__1.358;Name=EVM prediction SUPER__1.358
ENSG00000075131.1	gene_1645	evm.TU.SUPER__1.2145	SUPER__1	EVM	gene	189245588	189258435	.	-	.	ID=evm.TU.SUPER__1.2145;Name=EVM prediction SUPER__1.2145
ENSG00000075413.1	gene_1665	evm.TU.SUPER__1.2732	SUPER__1	EVM	gene	231804809	231898198	.	+	.	ID=evm.TU.SUPER__1.2732;Name=EVM prediction SUPER__1.2732
