Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date
mMyoMyo1.p	GCF_014108235.1	'Myotis myotis'				mMyoMyo1		'NCBI Annotation Release 100'	2002780556	Scaffold	2020-08-07
NocLep_v1_BIUU	GCA_004026585.1	'Noctilio leporinus'				US093			2098501394	Scaffold	2019-01-16
NycHum_v1_BIUU	GCA_007922795.1	'Nycticeius humeralis'				US023			2779565143	Scaffold	2019-08-08
mPhyDis1.pri.v3	GCF_004126475.2	'Phyllostomus discolor'				MPI-MPIP mPhyDis1		'NCBI Annotation Release 101'	2108832841	Chromosome	2020-05-12
TTU_PhHast_1.1	GCF_019186645.2	'Phyllostomus hastatus'				PE091		'NCBI Annotation Release 100'	2089223459	Scaffold	2021-07-09
mPipKuh1.p	GCF_014108245.1	'Pipistrellus kuhlii'				mPipKuh1		'NCBI Annotation Release 101'	1775688541	Scaffold	2020-08-07
mPipPip1.1	GCA_903992545.1	'Pipistrellus pipistrellus'							1763422308	Chromosome	2020-08-06
CSHL_Meso_final	GCA_021234165.1	'Pteronotus parnellii mesoamericanus'	'Mesoamerican mustached bat'			MK-2021			2074649091	Scaffold	2021-12-20
ASM32557v1	GCF_000325575.1	'Pteropus alecto'						'NCBI Annotation Release 102'	1985958707	Scaffold	2013-12-04
Ma_sr-lr_union100	GCF_902729225.1	'Pteropus giganteus'						'NCBI Annotation Release 100'	1985219947	Scaffold	2020-04-15
P_pselaphon_scaffold_01	GCA_014363405.1	'Pteropus pselaphon'							1933220355	Scaffold	2020-08-23
Pvam_2.0	GCF_000151845.1	'Pteropus vampyrus'				Shadow		'NCBI Annotation Release 101'	2198284804	Scaffold	2014-12-05
mRhiFer1_v1.p	GCA_004115265.3	'Rhinolophus ferrumequinum'				MPI-CBG mRhiFer1			2075768562	Chromosome	2019-05-17
mRouAeg1.p	GCF_014176215.1	'Rousettus aegyptiacus'				mRouAeg1		'NCBI Annotation Release 101'	1893602072	Scaffold	2020-08-07
rouLes_1.0	GCA_015472975.1	'Rousettus leschenaultii'							1918041062	Scaffold	2020-10-30
WHU_Shon_v2.1	GCF_014824575.2	'Sturnira hondurensis'				20B	Veracruz	'NCBI Annotation Release 100.20210611'	2096623354	Scaffold	2020-09-30
TadBra_v1_BIUU	GCA_004025005.1	'Tadarida brasiliensis'				US034			2709928648	Scaffold	2019-01-15
TonSau_v1_BIUU	GCA_004024845.1	'Tonatia saurophila'				US038			2105886965	Scaffold	2019-01-15

