userId	geneSymbol	geneName	entrezgene	score	gLink
C2orf78	C2orf78	chromosome 2 open reading frame 78	388960	0.403777886656773	https://www.ncbi.nlm.nih.gov/gene/?term=388960
C3	C3	complement C3	718	0.32104314379256355	https://www.ncbi.nlm.nih.gov/gene/?term=718
C5	C5	complement C5	727	0.427264379959217	https://www.ncbi.nlm.nih.gov/gene/?term=727
C5orf46	C5orf46	chromosome 5 open reading frame 46	389336	1.0047566622738016	https://www.ncbi.nlm.nih.gov/gene/?term=389336
C5orf52	C5orf52	chromosome 5 open reading frame 52	100190949	0.529806301463328	https://www.ncbi.nlm.nih.gov/gene/?term=100190949
C9orf43	C9orf43	chromosome 9 open reading frame 43	257169	0.937050952197639	https://www.ncbi.nlm.nih.gov/gene/?term=257169
C9orf50	C9orf50	chromosome 9 open reading frame 50	375759	0.941389785120661	https://www.ncbi.nlm.nih.gov/gene/?term=375759
CA7	CA7	carbonic anhydrase 7	766	0.34257809184152	https://www.ncbi.nlm.nih.gov/gene/?term=766
CABYR	CABYR	calcium binding tyrosine phosphorylation regulated	26256	0.856390597116211	https://www.ncbi.nlm.nih.gov/gene/?term=26256
CACNG5	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5	27091	2.9610635192786	https://www.ncbi.nlm.nih.gov/gene/?term=27091
CALCOCO2	CALCOCO2	calcium binding and coiled-coil domain 2	10241	3.13572643672291	https://www.ncbi.nlm.nih.gov/gene/?term=10241
CALU	CALU	calumenin	813	0.408266304305831	https://www.ncbi.nlm.nih.gov/gene/?term=813
CAPN13	CAPN13	calpain 13	92291	0.403659049329556	https://www.ncbi.nlm.nih.gov/gene/?term=92291
CARD6	CARD6	caspase recruitment domain family member 6	84674	0.520447311091238	https://www.ncbi.nlm.nih.gov/gene/?term=84674
CASP4	CASP4	caspase 4	837	0.593146039059164	https://www.ncbi.nlm.nih.gov/gene/?term=837
CASP7	CASP7	caspase 7	840	0.449529445595216	https://www.ncbi.nlm.nih.gov/gene/?term=840
CATSPERD	CATSPERD	cation channel sperm associated auxiliary subunit delta	257062	1.00428091969332	https://www.ncbi.nlm.nih.gov/gene/?term=257062
CATSPERE	CATSPERE	catsper channel auxiliary subunit epsilon	257044	2.37972607082245	https://www.ncbi.nlm.nih.gov/gene/?term=257044
CCDC113	CCDC113	coiled-coil domain containing 113	29070	0.470859801209182	https://www.ncbi.nlm.nih.gov/gene/?term=29070
CCDC12	CCDC12	coiled-coil domain containing 12	151903	1.84990130037042	https://www.ncbi.nlm.nih.gov/gene/?term=151903
CCDC40	CCDC40	coiled-coil domain containing 40	55036	0.40221798380339	https://www.ncbi.nlm.nih.gov/gene/?term=55036
CCDC71	CCDC71	coiled-coil domain containing 71	64925	0.900365245526924	https://www.ncbi.nlm.nih.gov/gene/?term=64925
CCDC78	CCDC78	coiled-coil domain containing 78	124093	1.04195670702959	https://www.ncbi.nlm.nih.gov/gene/?term=124093
CCER1	CCER1	coiled-coil glutamate rich protein 1	196477	0.5531705311405195	https://www.ncbi.nlm.nih.gov/gene/?term=196477
CCL18	CCL18	C-C motif chemokine ligand 18	6362	0.48397422249438	https://www.ncbi.nlm.nih.gov/gene/?term=6362
CCL19	CCL19	C-C motif chemokine ligand 19	6363	2.01851744674795	https://www.ncbi.nlm.nih.gov/gene/?term=6363
CCNT2	CCNT2	cyclin T2	905	0.46116371830515346	https://www.ncbi.nlm.nih.gov/gene/?term=905
CCSAP	CCSAP	centriole, cilia and spindle associated protein	126731	0.8663430396942895	https://www.ncbi.nlm.nih.gov/gene/?term=126731
CD109	CD109	CD109 molecule	135228	0.249542237178912	https://www.ncbi.nlm.nih.gov/gene/?term=135228
CD177	CD177	CD177 molecule	57126	0.893855035304653	https://www.ncbi.nlm.nih.gov/gene/?term=57126
CD226	CD226	CD226 molecule	10666	0.410412584624951	https://www.ncbi.nlm.nih.gov/gene/?term=10666
CD300A	CD300A	CD300a molecule	11314	0.8211643769229026	https://www.ncbi.nlm.nih.gov/gene/?term=11314
CD300LF	CD300LF	CD300 molecule like family member f	146722	0.8714896062472183	https://www.ncbi.nlm.nih.gov/gene/?term=146722
CD33	CD33	CD33 molecule	945	0.521224257055302	https://www.ncbi.nlm.nih.gov/gene/?term=945
CD4	CD4	CD4 molecule	920	0.92564764391831	https://www.ncbi.nlm.nih.gov/gene/?term=920
CD55	CD55	CD55 molecule (Cromer blood group)	1604	0.845659782026629	https://www.ncbi.nlm.nih.gov/gene/?term=1604
CD6	CD6	CD6 molecule	923	0.609982211772164	https://www.ncbi.nlm.nih.gov/gene/?term=923
CD72	CD72	CD72 molecule	971	0.5677577558452285	https://www.ncbi.nlm.nih.gov/gene/?term=971
CDH5	CDH5	cadherin 5	1003	0.216405340290902	https://www.ncbi.nlm.nih.gov/gene/?term=1003
CDHR2	CDHR2	cadherin related family member 2	54825	0.938920293862411	https://www.ncbi.nlm.nih.gov/gene/?term=54825
CDIPT	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	10423	0.98071980856308	https://www.ncbi.nlm.nih.gov/gene/?term=10423
CDT1	CDT1	chromatin licensing and DNA replication factor 1	81620	0.55971397289678	https://www.ncbi.nlm.nih.gov/gene/?term=81620
CDX1	CDX1	caudal type homeobox 1	1044	0.669274126077486	https://www.ncbi.nlm.nih.gov/gene/?term=1044
CEACAM1	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	634	2.1988532035098824	https://www.ncbi.nlm.nih.gov/gene/?term=634
CEACAM3	CEACAM3	carcinoembryonic antigen related cell adhesion molecule 3	1084	1.37959020881315	https://www.ncbi.nlm.nih.gov/gene/?term=1084
CEACAM5	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5	1048	0.7439562371324504	https://www.ncbi.nlm.nih.gov/gene/?term=1048
CEL	CEL	carboxyl ester lipase	1056	0.512601305133464	https://www.ncbi.nlm.nih.gov/gene/?term=1056
CEP89	CEP89	centrosomal protein 89	84902	0.556777878467225	https://www.ncbi.nlm.nih.gov/gene/?term=84902
CFH	CFH	complement factor H	3075	0.7491588962417708	https://www.ncbi.nlm.nih.gov/gene/?term=3075
CFHR1	CFHR1	complement factor H related 1	3078	0.208564711058909	https://www.ncbi.nlm.nih.gov/gene/?term=3078
CFHR3	CFHR3	complement factor H related 3	10878	0.723090139840499	https://www.ncbi.nlm.nih.gov/gene/?term=10878
CGAS	CGAS	cyclic GMP-AMP synthase	115004	0.5087898943064739	https://www.ncbi.nlm.nih.gov/gene/?term=115004
CHCHD10	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	400916	0.224734464858383	https://www.ncbi.nlm.nih.gov/gene/?term=400916
CHM	CHM	CHM, Rab escort protein 1	1121	0.207354716292399	https://www.ncbi.nlm.nih.gov/gene/?term=1121
CHMP1A	CHMP1A	charged multivesicular body protein 1A	5119	0.636012624316289	https://www.ncbi.nlm.nih.gov/gene/?term=5119
CHST4	CHST4	carbohydrate sulfotransferase 4	10164	0.742484290844921	https://www.ncbi.nlm.nih.gov/gene/?term=10164
CISH	CISH	cytokine inducible SH2 containing protein	1154	0.248091927884758	https://www.ncbi.nlm.nih.gov/gene/?term=1154
CIZ1	CIZ1	CDKN1A interacting zinc finger protein 1	25792	0.334378959085475	https://www.ncbi.nlm.nih.gov/gene/?term=25792
CLC	CLC	Charcot-Leyden crystal galectin	1178	1.03367001138942	https://www.ncbi.nlm.nih.gov/gene/?term=1178
CLCA4	CLCA4	chloride channel accessory 4	22802	0.9126188013187433	https://www.ncbi.nlm.nih.gov/gene/?term=22802
CLCN4	CLCN4	chloride voltage-gated channel 4	1183	0.0503047759250099	https://www.ncbi.nlm.nih.gov/gene/?term=1183
CLDN18	CLDN18	claudin 18	51208	0.259184532676417	https://www.ncbi.nlm.nih.gov/gene/?term=51208
CLEC18A	CLEC18A	C-type lectin domain family 18 member A	348174	0.3646044343649585	https://www.ncbi.nlm.nih.gov/gene/?term=348174
CLEC4A	CLEC4A	C-type lectin domain family 4 member A	50856	0.242184824240159	https://www.ncbi.nlm.nih.gov/gene/?term=50856
CLIP4	CLIP4	CAP-Gly domain containing linker protein family member 4	79745	0.192522208949261	https://www.ncbi.nlm.nih.gov/gene/?term=79745
CMTM6	CMTM6	CKLF like MARVEL transmembrane domain containing 6	54918	4.20887201041048	https://www.ncbi.nlm.nih.gov/gene/?term=54918
CNOT6L	CNOT6L	CCR4-NOT transcription complex subunit 6 like	246175	0.823375096983386	https://www.ncbi.nlm.nih.gov/gene/?term=246175
CNTN2	CNTN2	contactin 2	6900	0.1707386470578195	https://www.ncbi.nlm.nih.gov/gene/?term=6900
COBLL1	COBLL1	cordon-bleu WH2 repeat protein like 1	22837	0.39394962190203753	https://www.ncbi.nlm.nih.gov/gene/?term=22837
COG8	COG8	component of oligomeric golgi complex 8	84342	0.801938743035221	https://www.ncbi.nlm.nih.gov/gene/?term=84342
COL1A2	COL1A2	collagen type I alpha 2 chain	1278	0.711684609051344	https://www.ncbi.nlm.nih.gov/gene/?term=1278
COL3A1	COL3A1	collagen type III alpha 1 chain	1281	0.154640414568118	https://www.ncbi.nlm.nih.gov/gene/?term=1281
COL5A2	COL5A2	collagen type V alpha 2 chain	1290	0.186277390896224	https://www.ncbi.nlm.nih.gov/gene/?term=1290
COL6A3	COL6A3	collagen type VI alpha 3 chain	1293	0.3134697282160465	https://www.ncbi.nlm.nih.gov/gene/?term=1293
COL6A5	COL6A5	collagen type VI alpha 5 chain	256076	0.7459176834307039	https://www.ncbi.nlm.nih.gov/gene/?term=256076
COP1	COP1	COP1, E3 ubiquitin ligase	64326	0.748758375704437	https://www.ncbi.nlm.nih.gov/gene/?term=64326
COPZ2	COPZ2	coatomer protein complex subunit zeta 2	51226	0.466784900028115	https://www.ncbi.nlm.nih.gov/gene/?term=51226
COX20	COX20	cytochrome c oxidase assembly factor COX20	116228	0.328627959322937	https://www.ncbi.nlm.nih.gov/gene/?term=116228
CPEB2	CPEB2	cytoplasmic polyadenylation element binding protein 2	132864	1.10782336973211	https://www.ncbi.nlm.nih.gov/gene/?term=132864
CPLANE1	CPLANE1	ciliogenesis and planar polarity effector 1	65250	0.424061252435166	https://www.ncbi.nlm.nih.gov/gene/?term=65250
CPTP	CPTP	ceramide-1-phosphate transfer protein	80772	0.180539257360442	https://www.ncbi.nlm.nih.gov/gene/?term=80772
CREM	CREM	cAMP responsive element modulator	1390	0.1043328301351905	https://www.ncbi.nlm.nih.gov/gene/?term=1390
CRNN	CRNN	cornulin	49860	0.353533269195323	https://www.ncbi.nlm.nih.gov/gene/?term=49860
CSF1	CSF1	colony stimulating factor 1	1435	0.548128401222808	https://www.ncbi.nlm.nih.gov/gene/?term=1435
CSF3R	CSF3R	colony stimulating factor 3 receptor	1441	0.308499255820059	https://www.ncbi.nlm.nih.gov/gene/?term=1441
CSN2	CSN2	casein beta	1447	0.7881828194838296	https://www.ncbi.nlm.nih.gov/gene/?term=1447
CTTNBP2	CTTNBP2	cortactin binding protein 2	83992	0.547391153760918	https://www.ncbi.nlm.nih.gov/gene/?term=83992
CTU1	CTU1	cytosolic thiouridylase subunit 1	90353	0.43314724421211653	https://www.ncbi.nlm.nih.gov/gene/?term=90353
CX3CL1	CX3CL1	C-X3-C motif chemokine ligand 1	6376	2.29022862024694	https://www.ncbi.nlm.nih.gov/gene/?term=6376
CXCL12	CXCL12	C-X-C motif chemokine ligand 12	6387	0.9720347266978925	https://www.ncbi.nlm.nih.gov/gene/?term=6387
CXCL16	CXCL16	C-X-C motif chemokine ligand 16	58191	0.568815074382977	https://www.ncbi.nlm.nih.gov/gene/?term=58191
CXCR2	CXCR2	C-X-C motif chemokine receptor 2	3579	0.4399593501833515	https://www.ncbi.nlm.nih.gov/gene/?term=3579
CYLC2	CYLC2	cylicin 2	1539	0.8709531284279635	https://www.ncbi.nlm.nih.gov/gene/?term=1539
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough	100861540	0.6453975925750355	https://www.ncbi.nlm.nih.gov/gene/?term=100861540
DALRD3	DALRD3	DALR anticodon binding domain containing 3	55152	0.9814556486511525	https://www.ncbi.nlm.nih.gov/gene/?term=55152
DBF4	DBF4	DBF4 zinc finger	10926	0.679978499721795	https://www.ncbi.nlm.nih.gov/gene/?term=10926
DCAF13	DCAF13	DDB1 and CUL4 associated factor 13	25879	0.352685174787165	https://www.ncbi.nlm.nih.gov/gene/?term=25879
DCST2	DCST2	DC-STAMP domain containing 2	127579	0.360449595431557	https://www.ncbi.nlm.nih.gov/gene/?term=127579
DDIT3	DDIT3	DNA damage inducible transcript 3	1649	0.484086694353049	https://www.ncbi.nlm.nih.gov/gene/?term=1649
DEFB1	DEFB1	defensin beta 1	1672	9.00479803187348	https://www.ncbi.nlm.nih.gov/gene/?term=1672
DGCR6	DGCR6	DiGeorge syndrome critical region gene 6	8214	0.172825061255859	https://www.ncbi.nlm.nih.gov/gene/?term=8214
DHX32	DHX32	DEAH-box helicase 32 (putative)	55760	0.153495402540173	https://www.ncbi.nlm.nih.gov/gene/?term=55760
DLEC1	DLEC1	DLEC1, cilia and flagella associated protein	9940	0.382892034673206	https://www.ncbi.nlm.nih.gov/gene/?term=9940
DMAC2	DMAC2	distal membrane arm assembly complex 2	55101	1.14241492100343	https://www.ncbi.nlm.nih.gov/gene/?term=55101
DMKN	DMKN	dermokine	93099	0.358855853644064	https://www.ncbi.nlm.nih.gov/gene/?term=93099
DNAH14	DNAH14	dynein axonemal heavy chain 14	127602	0.128835839223978	https://www.ncbi.nlm.nih.gov/gene/?term=127602
DNAJB12	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	54788	0.330693378616376	https://www.ncbi.nlm.nih.gov/gene/?term=54788
DOK5	DOK5	docking protein 5	55816	1.19151008135675	https://www.ncbi.nlm.nih.gov/gene/?term=55816
DPY19L3	DPY19L3	dpy-19 like C-mannosyltransferase 3	147991	0.208917304284729	https://www.ncbi.nlm.nih.gov/gene/?term=147991
DSG1	DSG1	desmoglein 1	1828	1.05702415214086	https://www.ncbi.nlm.nih.gov/gene/?term=1828
DTNB	DTNB	dystrobrevin beta	1838	0.548970915871228	https://www.ncbi.nlm.nih.gov/gene/?term=1838
DTX3L	DTX3L	deltex E3 ubiquitin ligase 3L	151636	1.03128425118568	https://www.ncbi.nlm.nih.gov/gene/?term=151636
DUOX1	DUOX1	dual oxidase 1	53905	0.275318195956911	https://www.ncbi.nlm.nih.gov/gene/?term=53905
DUOX2	DUOX2	dual oxidase 2	50506	0.1883090124010895	https://www.ncbi.nlm.nih.gov/gene/?term=50506
DZANK1	DZANK1	double zinc ribbon and ankyrin repeat domains 1	55184	0.0798689942014155	https://www.ncbi.nlm.nih.gov/gene/?term=55184
ECSCR	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	641700	0.885708278011486	https://www.ncbi.nlm.nih.gov/gene/?term=641700
EDARADD	EDARADD	EDAR associated death domain	128178	0.89675329505367	https://www.ncbi.nlm.nih.gov/gene/?term=128178
EDEM3	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3	80267	0.190231929360185	https://www.ncbi.nlm.nih.gov/gene/?term=80267
EFCAB5	EFCAB5	EF-hand calcium binding domain 5	374786	0.694664322692342	https://www.ncbi.nlm.nih.gov/gene/?term=374786
EFHC1	EFHC1	EF-hand domain containing 1	114327	0.311865778116118	https://www.ncbi.nlm.nih.gov/gene/?term=114327
EFNA4	EFNA4	ephrin A4	1945	0.17769759645284	https://www.ncbi.nlm.nih.gov/gene/?term=1945
EGLN1	EGLN1	egl-9 family hypoxia inducible factor 1	54583	0.738479734287395	https://www.ncbi.nlm.nih.gov/gene/?term=54583
EHBP1L1	EHBP1L1	EH domain binding protein 1 like 1	254102	0.5397498921884458	https://www.ncbi.nlm.nih.gov/gene/?term=254102
EID1	EID1	EP300 interacting inhibitor of differentiation 1	23741	1.654645523846955	https://www.ncbi.nlm.nih.gov/gene/?term=23741
EIF3G	EIF3G	eukaryotic translation initiation factor 3 subunit G	8666	0.550101310569138	https://www.ncbi.nlm.nih.gov/gene/?term=8666
EMC1	EMC1	ER membrane protein complex subunit 1	23065	0.0731693998982699	https://www.ncbi.nlm.nih.gov/gene/?term=23065
EMC10	EMC10	ER membrane protein complex subunit 10	284361	0	https://www.ncbi.nlm.nih.gov/gene/?term=284361
EMILIN1	EMILIN1	elastin microfibril interfacer 1	11117	0.432594058948573	https://www.ncbi.nlm.nih.gov/gene/?term=11117
EMP2	EMP2	epithelial membrane protein 2	2013	0.934342514483728	https://www.ncbi.nlm.nih.gov/gene/?term=2013
ENKD1	ENKD1	enkurin domain containing 1	84080	0.660211327724916	https://www.ncbi.nlm.nih.gov/gene/?term=84080
ERC2	ERC2	ELKS/RAB6-interacting/CAST family member 2	26059	0.0726825777125108	https://www.ncbi.nlm.nih.gov/gene/?term=26059
ERICH1	ERICH1	glutamate rich 1	157697	0.867557845832885	https://www.ncbi.nlm.nih.gov/gene/?term=157697
ERICH6	ERICH6	glutamate rich 6	131831	1.17524556215265	https://www.ncbi.nlm.nih.gov/gene/?term=131831
ERMN	ERMN	ermin	57471	0.415619129260317	https://www.ncbi.nlm.nih.gov/gene/?term=57471
ERO1B	ERO1B	endoplasmic reticulum oxidoreductase 1 beta	56605	0.40729690155789533	https://www.ncbi.nlm.nih.gov/gene/?term=56605
ESRP1	ESRP1	epithelial splicing regulatory protein 1	54845	0.215785245633895	https://www.ncbi.nlm.nih.gov/gene/?term=54845
ESRP2	ESRP2	epithelial splicing regulatory protein 2	80004	0.151785548154331	https://www.ncbi.nlm.nih.gov/gene/?term=80004
ETHE1	ETHE1	ETHE1, persulfide dioxygenase	23474	0.411071950172046	https://www.ncbi.nlm.nih.gov/gene/?term=23474
