userId	geneSymbol	geneName	entrezgene	score	gLink
LACTBL1	LACTBL1	lactamase beta like 1	646262	1.1928920897813406	https://www.ncbi.nlm.nih.gov/gene/?term=646262
LILRB3	LILRB3	leukocyte immunoglobulin like receptor B3	11025	-0.24793995091008586	https://www.ncbi.nlm.nih.gov/gene/?term=11025
LILRB4	LILRB4	leukocyte immunoglobulin like receptor B4	11006	-0.33372020978866307	https://www.ncbi.nlm.nih.gov/gene/?term=11006
LRRC4B	LRRC4B	leucine rich repeat containing 4B	94030	-2.3700234767358497	https://www.ncbi.nlm.nih.gov/gene/?term=94030
MAP6	MAP6	microtubule associated protein 6	4135	-0.5304492434831591	https://www.ncbi.nlm.nih.gov/gene/?term=4135
MAVS	MAVS	mitochondrial antiviral signaling protein	57506	-0.783196916327254	https://www.ncbi.nlm.nih.gov/gene/?term=57506
MDM1	MDM1	Mdm1 nuclear protein	56890	0.4361218833934779	https://www.ncbi.nlm.nih.gov/gene/?term=56890
MRPL22	MRPL22	mitochondrial ribosomal protein L22	29093	1.495725120728742	https://www.ncbi.nlm.nih.gov/gene/?term=29093
MUC1	MUC1	mucin 1, cell surface associated	4582	-0.3446753106831437	https://www.ncbi.nlm.nih.gov/gene/?term=4582
NAALADL1	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	10004	-0.6718388913649405	https://www.ncbi.nlm.nih.gov/gene/?term=10004
NFKBIL1	NFKBIL1	NFKB inhibitor like 1	4795	-0.9540329270835397	https://www.ncbi.nlm.nih.gov/gene/?term=4795
NHSL2	NHSL2	NHS like 2	340527	-1.4727085352940847	https://www.ncbi.nlm.nih.gov/gene/?term=340527
NLE1	NLE1	notchless homolog 1	54475	-1.8934984368742562	https://www.ncbi.nlm.nih.gov/gene/?term=54475
NPY	NPY	neuropeptide Y	4852	-0.6183896062529424	https://www.ncbi.nlm.nih.gov/gene/?term=4852
NR0B1	NR0B1	nuclear receptor subfamily 0 group B member 1	190	-1.3817479040973604	https://www.ncbi.nlm.nih.gov/gene/?term=190
OR10Q1	OR10Q1	olfactory receptor family 10 subfamily Q member 1	219960	-0.3254979450605896	https://www.ncbi.nlm.nih.gov/gene/?term=219960
OR2F1	OR2F1	olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	26211	0.3910762348991724	https://www.ncbi.nlm.nih.gov/gene/?term=26211
OR4C3	OR4C3	olfactory receptor family 4 subfamily C member 3	256144	-0.4413500072979968	https://www.ncbi.nlm.nih.gov/gene/?term=256144
OR51F2	OR51F2	olfactory receptor family 51 subfamily F member 2	119694	-1.0609025562102787	https://www.ncbi.nlm.nih.gov/gene/?term=119694
OR5M8	OR5M8	olfactory receptor family 5 subfamily M member 8	219484	-1.0379905091990131	https://www.ncbi.nlm.nih.gov/gene/?term=219484
OR7A5	OR7A5	olfactory receptor family 7 subfamily A member 5	26659	-0.6624932240878415	https://www.ncbi.nlm.nih.gov/gene/?term=26659
P2RX1	P2RX1	purinergic receptor P2X 1	5023	0.7142847707565324	https://www.ncbi.nlm.nih.gov/gene/?term=5023
PDYN	PDYN	prodynorphin	5173	-1.5414138806988569	https://www.ncbi.nlm.nih.gov/gene/?term=5173
PIP5K1C	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	23396	-0.9308798361383477	https://www.ncbi.nlm.nih.gov/gene/?term=23396
PKM	PKM	pyruvate kinase M1/2	5315	-1.001518115994645	https://www.ncbi.nlm.nih.gov/gene/?term=5315
PLPPR3	PLPPR3	phospholipid phosphatase related 3	79948	-1.1240439417273318	https://www.ncbi.nlm.nih.gov/gene/?term=79948
PRPF38B	PRPF38B	pre-mRNA processing factor 38B	55119	0.8375632045315108	https://www.ncbi.nlm.nih.gov/gene/?term=55119
PRSS50	PRSS50	serine protease 50	29122	-1.078762963685075	https://www.ncbi.nlm.nih.gov/gene/?term=29122
PTPRH	PTPRH	protein tyrosine phosphatase, receptor type H	5794	-0.2750864457432067	https://www.ncbi.nlm.nih.gov/gene/?term=5794
RAG2	RAG2	recombination activating 2	5897	-0.37859479183704264	https://www.ncbi.nlm.nih.gov/gene/?term=5897
RPL6	RPL6	ribosomal protein L6	6128	-0.3693889485760241	https://www.ncbi.nlm.nih.gov/gene/?term=6128
RPN2	RPN2	ribophorin II	6185	-0.6084615774739845	https://www.ncbi.nlm.nih.gov/gene/?term=6185
RRBP1	RRBP1	ribosome binding protein 1	6238	-1.0152128752778247	https://www.ncbi.nlm.nih.gov/gene/?term=6238
RRP15	RRP15	ribosomal RNA processing 15 homolog	51018	-1.3931569097509287	https://www.ncbi.nlm.nih.gov/gene/?term=51018
RRS1	RRS1	ribosome biogenesis regulator homolog	23212	-0.45132432298515723	https://www.ncbi.nlm.nih.gov/gene/?term=23212
RSPO3	RSPO3	R-spondin 3	84870	0.24696106501983003	https://www.ncbi.nlm.nih.gov/gene/?term=84870
SBSN	SBSN	suprabasin	374897	-0.46969605890813987	https://www.ncbi.nlm.nih.gov/gene/?term=374897
SCARA3	SCARA3	scavenger receptor class A member 3	51435	-0.511204593533471	https://www.ncbi.nlm.nih.gov/gene/?term=51435
SCEL	SCEL	sciellin	8796	-0.6553129799730448	https://www.ncbi.nlm.nih.gov/gene/?term=8796
SCIMP	SCIMP	SLP adaptor and CSK interacting membrane protein	388325	0.8007692098406423	https://www.ncbi.nlm.nih.gov/gene/?term=388325
SCN10A	SCN10A	sodium voltage-gated channel alpha subunit 10	6336	-1.1142304788567277	https://www.ncbi.nlm.nih.gov/gene/?term=6336
SFTPD	SFTPD	surfactant protein D	6441	1.661478561209428	https://www.ncbi.nlm.nih.gov/gene/?term=6441
SGCE	SGCE	sarcoglycan epsilon	8910	-0.4618518645268315	https://www.ncbi.nlm.nih.gov/gene/?term=8910
SIGLEC8	SIGLEC8	sialic acid binding Ig like lectin 8	27181	0.6854042986124658	https://www.ncbi.nlm.nih.gov/gene/?term=27181
SIMC1	SIMC1	SUMO interacting motifs containing 1	375484	-0.17267416901596896	https://www.ncbi.nlm.nih.gov/gene/?term=375484
SIRPA	SIRPA	signal regulatory protein alpha	140885	0.23229772195857804	https://www.ncbi.nlm.nih.gov/gene/?term=140885
SLAMF1	SLAMF1	signaling lymphocytic activation molecule family member 1	6504	0.03647768955501689	https://www.ncbi.nlm.nih.gov/gene/?term=6504
SLC12A4	SLC12A4	solute carrier family 12 member 4	6560	-1.2947463076097003	https://www.ncbi.nlm.nih.gov/gene/?term=6560
SLC13A2	SLC13A2	solute carrier family 13 member 2	9058	-1.196935840882591	https://www.ncbi.nlm.nih.gov/gene/?term=9058
SLC24A1	SLC24A1	solute carrier family 24 member 1	9187	-0.40678915935661486	https://www.ncbi.nlm.nih.gov/gene/?term=9187
SLMAP	SLMAP	sarcolemma associated protein	7871	2.3321879323950565	https://www.ncbi.nlm.nih.gov/gene/?term=7871
SNX21	SNX21	sorting nexin family member 21	90203	-0.6992207615761072	https://www.ncbi.nlm.nih.gov/gene/?term=90203
SOX5	SOX5	SRY-box 5	6660	-2.1485252413076297	https://www.ncbi.nlm.nih.gov/gene/?term=6660
SPATS1	SPATS1	spermatogenesis associated serine rich 1	221409	-0.8457518745634319	https://www.ncbi.nlm.nih.gov/gene/?term=221409
STON2	STON2	stonin 2	85439	-1.1713676142500218	https://www.ncbi.nlm.nih.gov/gene/?term=85439
SUPT3H	SUPT3H	SPT3 homolog, SAGA and STAGA complex component	8464	-1.1156942603935125	https://www.ncbi.nlm.nih.gov/gene/?term=8464
TARM1	TARM1	T cell-interacting, activating receptor on myeloid cells 1	441864	1.8083548936989122	https://www.ncbi.nlm.nih.gov/gene/?term=441864
TG	TG	thyroglobulin	7038	-1.5455136373673992	https://www.ncbi.nlm.nih.gov/gene/?term=7038
TMEM63B	TMEM63B	transmembrane protein 63B	55362	-1.9328735878560113	https://www.ncbi.nlm.nih.gov/gene/?term=55362
TXNDC16	TXNDC16	thioredoxin domain containing 16	57544	-1.62193660557614	https://www.ncbi.nlm.nih.gov/gene/?term=57544
UBTFL1	UBTFL1	upstream binding transcription factor like 1	642623	-0.06685009254141958	https://www.ncbi.nlm.nih.gov/gene/?term=642623
UCN	UCN	urocortin	7349	-1.1660266029154065	https://www.ncbi.nlm.nih.gov/gene/?term=7349
VSIG10L	VSIG10L	V-set and immunoglobulin domain containing 10 like	147645	-1.690175308571324	https://www.ncbi.nlm.nih.gov/gene/?term=147645
ZFP28	ZFP28	ZFP28 zinc finger protein	140612	-0.8644391097994484	https://www.ncbi.nlm.nih.gov/gene/?term=140612
ZKSCAN7	ZKSCAN7	zinc finger with KRAB and SCAN domains 7	55888	-1.0710930790903357	https://www.ncbi.nlm.nih.gov/gene/?term=55888
ZNF326	ZNF326	zinc finger protein 326	284695	-0.1348779051565503	https://www.ncbi.nlm.nih.gov/gene/?term=284695
ZNF483	ZNF483	zinc finger protein 483	158399	-0.6234416258060143	https://www.ncbi.nlm.nih.gov/gene/?term=158399
ZNF77	ZNF77	zinc finger protein 77	58492	-0.3310537052349145	https://www.ncbi.nlm.nih.gov/gene/?term=58492
ZNF783	ZNF783	zinc finger family member 783	100289678	-2.541578240933677	https://www.ncbi.nlm.nih.gov/gene/?term=100289678
